unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,aqi_category,year,month
169279,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,101,Financial District (CD1),Summer 2009,2009-06-01,13.15,Moderate,2009,6
177771,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,103,Fordham - Bronx Pk,Summer 2009,2009-06-01,10.6,Good,2009,6
177799,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,403,Flushing - Clearview,Summer 2009,2009-06-01,10.23,Good,2009,6
173608,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,206,Borough Park,Summer 2009,2009-06-01,10.77,Good,2009,6
177778,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,Summer 2009,2009-06-01,10.92,Good,2009,6
177780,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,205,Sunset Park,Summer 2009,2009-06-01,11.45,Good,2009,6
169297,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),Summer 2009,2009-06-01,10.92,Good,2009,6
173602,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,104,Pelham - Throgs Neck,Summer 2009,2009-06-01,10.44,Good,2009,6
173620,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,403,Flushing - Clearview,Summer 2009,2009-06-01,10.23,Good,2009,6
169290,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,112,Washington Heights and Inwood (CD12),Summer 2009,2009-06-01,10.99,Good,2009,6
169288,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,110,Central Harlem (CD10),Summer 2009,2009-06-01,11.3,Good,2009,6
173600,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,102,Northeast Bronx,Summer 2009,2009-06-01,10.33,Good,2009,6
177775,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,107,Hunts Point - Mott Haven,Summer 2009,2009-06-01,9.74,Good,2009,6
177785,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,210,Coney Island - Sheepshead Bay,Summer 2009,2009-06-01,10.38,Good,2009,6
177797,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,401,Long Island City - Astoria,Summer 2009,2009-06-01,11.6,Good,2009,6
169283,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,105,Midtown (CD5),Summer 2009,2009-06-01,16.03,Moderate,2009,6
177788,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,302,Central Harlem - Morningside Heights,Summer 2009,2009-06-01,11.36,Good,2009,6
169300,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,210,Throgs Neck and Co-op City (CD10),Summer 2009,2009-06-01,10.37,Good,2009,6
169302,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,212,Williamsbridge and Baychester (CD12),Summer 2009,2009-06-01,10.24,Good,2009,6
173614,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301,Washington Heights,Summer 2009,2009-06-01,11.03,Good,2009,6
173603,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,201,Greenpoint,Summer 2009,2009-06-01,12.17,Moderate,2009,6
173612,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,210,Coney Island - Sheepshead Bay,Summer 2009,2009-06-01,10.38,Good,2009,6
173610,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,208,Canarsie - Flatlands,Summer 2009,2009-06-01,10.35,Good,2009,6
169310,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,308,Crown Heights and Prospect Heights (CD8),Summer 2009,2009-06-01,10.96,Good,2009,6
169323,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,403,Jackson Heights (CD3),Summer 2009,2009-06-01,10.37,Good,2009,6
169322,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,402,Woodside and Sunnyside (CD2),Summer 2009,2009-06-01,12.12,Moderate,2009,6
173618,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,401,Long Island City - Astoria,Summer 2009,2009-06-01,11.6,Good,2009,6
173616,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,303,East Harlem,Summer 2009,2009-06-01,11.5,Good,2009,6
173605,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203,Bedford Stuyvesant - Crown Heights,Summer 2009,2009-06-01,10.92,Good,2009,6
177772,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104,Pelham - Throgs Neck,Summer 2009,2009-06-01,10.44,Good,2009,6
173613,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211,Williamsburg - Bushwick,Summer 2009,2009-06-01,11.52,Good,2009,6
173611,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,209,Bensonhurst - Bay Ridge,Summer 2009,2009-06-01,10.59,Good,2009,6
173604,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,202,Downtown - Heights - Slope,Summer 2009,2009-06-01,11.71,Good,2009,6
173606,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,204,East New York,Summer 2009,2009-06-01,10.79,Good,2009,6
173617,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,304,Upper West Side,Summer 2009,2009-06-01,12.13,Moderate,2009,6
173632,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,105106107,South Bronx,Summer 2009,2009-06-01,11.35,Good,2009,6
173624,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409,Southeast Queens,Summer 2009,2009-06-01,9.65,Good,2009,6
179163,365,Fine particles (PM 2.5),Mean,mcg/m3,Citywide,1,New York City,Summer 2009,2009-06-01,10.7,Good,2009,6
169317,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,315,Sheepshead Bay (CD15),Summer 2009,2009-06-01,10.38,Good,2009,6
173629,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2009,2009-06-01,9.96,Good,2009,6
169282,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,104,Clinton and Chelsea (CD4),Summer 2009,2009-06-01,13.34,Moderate,2009,6
179571,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,4,Queens,Summer 2009,2009-06-01,10.27,Good,2009,6
169320,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,318,Flatlands and Canarsie (CD18),Summer 2009,2009-06-01,10.33,Good,2009,6
169293,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,203,Morrisania and Crotona (CD3),Summer 2009,2009-06-01,11.02,Good,2009,6
173607,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,205,Sunset Park,Summer 2009,2009-06-01,11.45,Good,2009,6
169286,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,108,Upper East Side (CD8),Summer 2009,2009-06-01,12.95,Moderate,2009,6
169298,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,208,Riverdale and Fieldston (CD8),Summer 2009,2009-06-01,10.38,Good,2009,6
169308,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,306,Park Slope and Carroll Gardens (CD6),Summer 2009,2009-06-01,11.68,Good,2009,6
169307,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,305,East New York and Starrett City (CD5),Summer 2009,2009-06-01,10.74,Good,2009,6
169319,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,317,East Flatbush (CD17),Summer 2009,2009-06-01,10.88,Good,2009,6
169305,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,303,Bedford Stuyvesant (CD3),Summer 2009,2009-06-01,11.0,Good,2009,6
169280,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,102,Greenwich Village and Soho (CD2),Summer 2009,2009-06-01,12.97,Moderate,2009,6
169291,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,201,Mott Haven and Melrose (CD1),Summer 2009,2009-06-01,11.68,Good,2009,6
169303,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,301,Greenpoint and Williamsburg (CD1),Summer 2009,2009-06-01,12.26,Moderate,2009,6
169316,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,314,Flatbush and Midwood (CD14),Summer 2009,2009-06-01,10.78,Good,2009,6
169330,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,410,South Ozone Park and Howard Beach (CD10),Summer 2009,2009-06-01,9.98,Good,2009,6
